"Order","Level","Code","Parent","Description","This item includes","This item also includes","This item excludes","Reference to ISIC Rev. 4"
"398481","1","A",,"MAATALOUS, METSÄTALOUS JA KALATALOUS",,,,"A"
"398482","2","01","A","Kasvinviljely ja kotieläintalous, riistatalous ja niihin liittyvät palvelut",,,,"01"
"398483","3","01.1","01","Yksivuotisten kasvien viljely",,,,"011"
"398484","4","01.11","01.1","Viljakasvien (pl. riisin), palkokasvien ja öljysiemenkasvien viljely",,,,"0111"
"398485","4","01.12","01.1","Riisin viljely",,,,"0112"
"398486","4","01.13","01.1","Vihannesten ja melonien, juuresten ja mukulakasvien viljely",,,,"0113"
"398487","4","01.14","01.1","Sokeriruo'on viljely",,,,"0114"
"398488","4","01.15","01.1","Tupakan viljely",,,,"0115"
"398489","4","01.16","01.1","Kuitukasvien viljely",,,,"0116"
"398490","4","01.19","01.1","Muu yksivuotisten ja koristekasvien viljely",,,,"0119"
"398491","3","01.2","01","Monivuotisten kasvien viljely",,,,"012"
"398492","4","01.21","01.2","Rypäleiden viljely",,,,"0121"
"398493","4","01.22","01.2","Trooppisten ja subtrooppisten hedelmien viljely",,,,"0122"
"398494","4","01.23","01.2","Sitrushedelmien viljely",,,,"0123"
"398495","4","01.24","01.2","Omenoiden, kirsikoiden, luumujen ym. kota- ja kivihedelmien viljely",,,,"0124"
"398496","4","01.25","01.2","Marjojen, pähkinöiden ja muiden puissa ja pensaissa kasvavien hedelmien viljely",,,,"0125"
"398497","4","01.26","01.2","Öljyä sisältävien hedelmien viljely",,,,"0126"
"398498","4","01.27","01.2","Juomakasvien viljely",,,,"0127"
"398499","4","01.28","01.2","Mauste-, aromi-, rohdos- ja lääkekasvien viljely",,,,"0128"
"398500","4","01.29","01.2","Muu monivuotisten kasvien viljely",,,,"0129"
"398501","3","01.3","01","Taimien kasvatus ja muu kasvien lisääminen",,,,"013"
"398502","4","01.30","01.3","Taimien kasvatus ja muu kasvien lisääminen",,,,"0130"
"398503","3","01.4","01","Kotieläintalous",,,,"014"
"398504","4","01.41","01.4","Lypsykarjan kasvatus",,,,"0141"
"398505","4","01.42","01.4","Muun nautakarjan ja puhvelien kasvatus",,,,"0141"
"398506","4","01.43","01.4","Hevosten ja muiden hevoseläinten kasvatus",,,,"0142"
"398507","4","01.44","01.4","Kamelien ja kamelieläinten kasvatus",,,,"0143"
"398508","4","01.45","01.4","Lampaiden ja vuohien kasvatus",,,,"0144"
"398509","4","01.46","01.4","Sikojen kasvatus",,,,"0145"
"398510","4","01.47","01.4","Siipikarjan kasvatus",,,,"0146"
"398511","4","01.49","01.4","Muiden eläinten kasvatus",,,,"0149"
"398512","3","01.5","01","Yhdistetty kasvinviljely ja kotieläintalous (sekatilat)",,,,"015"
"398513","4","01.50","01.5","Yhdistetty kasvinviljely ja kotieläintalous (sekatilat)",,,,"0150"
"398514","3","01.6","01","Maataloutta palveleva toiminta",,,,"016"
"398515","4","01.61","01.6","Kasvinviljelyä palveleva toiminta",,,,"0161"
"398516","4","01.62","01.6","Kotieläintaloutta palveleva toiminta",,,,"0162"
"398517","4","01.63","01.6","Sadon jatkokäsittely",,,,"0163"
"398518","4","01.64","01.6","Siementen käsittely kasvinviljelyä varten",,,,"0164"
"398519","3","01.7","01","Metsästys ja sitä palveleva toiminta",,,,"017"
"398520","4","01.70","01.7","Metsästys ja sitä palveleva toiminta",,,,"0170"
"398521","2","02","A","Metsätalous ja puunkorjuu",,,,"02"
"398522","3","02.1","02","Metsänhoito",,,,"021"
"398523","4","02.10","02.1","Metsänhoito",,,,"0210"
"398524","3","02.2","02","Puunkorjuu",,,,"022"
"398525","4","02.20","02.2","Puunkorjuu",,,,"0220"
"398526","3","02.3","02","Luonnon tuotteiden keruu (pl. polttopuu)",,,,"023"
"398527","4","02.30","02.3","Luonnon tuotteiden keruu (pl. polttopuu)",,,,"0230"
"398528","3","02.4","02","Metsätaloutta palveleva toiminta",,,,"024"
"398529","4","02.40","02.4","Metsätaloutta palveleva toiminta",,,,"0240"
"398530","2","03","A","Kalastus ja vesiviljely",,,,"03"
"398531","3","03.1","03","Kalastus",,,,"031"
"398532","4","03.11","03.1","Merikalastus",,,,"0311"
"398533","4","03.12","03.1","Sisävesikalastus",,,,"0312"
"398534","3","03.2","03","Vesiviljely",,,,"032"
"398535","4","03.21","03.2","Kalanviljely meressä",,,,"0321"
"398536","4","03.22","03.2","Kalanviljely sisävesissä",,,,"0322"
"398537","1","B",,"KAIVOSTOIMINTA JA LOUHINTA",,,,"B"
"398538","2","05","B","Kivihiilen ja ruskohiilen kaivu",,,,"05"
"398539","3","05.1","05","Kivihiilen kaivu",,,,"051"
